Publisher,Count
Discovery Communications,1
Disney Interactive Software,1
Diversions Publishing,1
Domark,1
Dorset Multimedia,1
Draconus Entertainment,1
Dragonfly,1
Dragons Eye Productions,1
DreamCatcher InteractiveThe Adventure Company,1
DreamWorks Interactive,1
Dtp entertainmentFocusAkellaCDV Software,1
Dynamix,1
DynamixSierra Entertainment,1
EA GamesWarner Bros. Interactive,1
Edmark,1
Eduweb,1
Egmont Interactive,1
Elektrogames,1
Elmer Productions,1
Emote Games,1
Empire Interactive Entertainment,1
Encore,1
Encore Games,1
Enterbrain,1
Epic Interactive Strategy,1
Equity Games,1
Eric Fredricksen,1
Ethereal Darkness Interactive,1
Excellents Japan,1
Exotypos,1
Eyebrow Interactive,1
FOX Interactive,1
FX Interactive,1
Falcom,1
Fanista,1
Farlan Entertainment,1
Faucet Software,1
FireSky,1
Fireglow Games,1
Focus,1
France Telecom Multimedia,1
Frogster Interactive,1
Frogster Interactive Pictures,1
Frogwares,1
Frozenbyte,1
Futuremark Games Studio,1
G2 Games,1
GAMEBANK,1
GFI,1
GIGA Co.,1
GMX media,1
GOA,1
GT Interactive Software,1
GT Interactive Software Corp.,1
GTE Interactive Media,1
Gainax,1
Gala-Net Inc,1
Game Jolt,1
GameInvest,1
GameMill Publishing,1
Gamebank,1
GamebankCyberfrontMediaKiteInterplay EntertainmentConspiracy Entertainment,1
Gamepot,1
Games for Loving,1
Gearbox Publishing,1
Glamus,1
Globulation 2 Team,1
God Games,1
Graphsim EntertainmentExcalibur Publishing,1
Gravity Interactive,1
Greenwave Games,1
Grey Box,1
Groove Media Inc.,1
Groover,1
Guillaume Cottenceau,1
GungHo Online Entertainment,1
HD Publishing,1
HMH Interactive,1
Haikuo Soft,1
Hannu and Jukka Räbinä,1
Happy Digi,1
Harmonious Games,1
Hasbro,1
Headbang Club,1
Hemisphere Games,1
Herculean Effort Productions,1
Hi-Rez Studios,1
Himalaya Studios,1
Hip Games,1
Hip Interactive,1
Hirameki International,1
Home Entertainment Suppliers,1
HopeLab,1
Hothead Games,1
Hucast,1
Hue Forest Entertainment,1
Human Entertainment,1
Humble Bundle,1
Humble Games,1
Hyperware,1
IMC Games Co.,1
Ice Water Games,1
Idea Games,1
Idigicon Limited,1
Illusion Soft,1
Image Space Incorporated,1
Imagineer,1
Immersion Games,1
ImpactGames,1
Impressions Games,1
Infinite Monkeys Entertainment,1
Infogrames Europe,1
Infogrames Europe SA,1
Infogrames North America,1
Infogrames North AmericaCryo Interactive,1
Infogrames/Atari,1
Inhuman Games,1
Inscape,1
InstantAction,1
Interactive Gaming Software,1
Interactive Kingdom,1
Interplay,1
Invictus Games,1
Isotx,1
IzanagiGames,1
JAST,1
JC Research Inc.,1
JRC Interactive,1
Jaleco Entertainment,1
Jamdat Mobile,1
JoWooD Productions Software,1
Jonathan Wood,1
K2 Network,1
KOEI,1
KOGADO Studio,1
KRU Interactive,1
Kalypso Media UK Ltd,1
Kama Digital Entertainment,1
Kemco,1
Kids Station,1
Klabater,1
Koch Media,1
Kogado Software Products,1
Kokopeli,1
Konam,1
Konami Computer Entertainment Japan,1
Konami Digital Entertainment,1
Krafted Games,1
Kunos Simulazioni,1
LFS Team,1
LK Avalon,1
Laminar Research,1
Last Day of Work,1
Le Lombard,1
Leaf,1
Legacy Games,1
Level Up! Games,1
Lexaloffle,1
Lexicon Entertainment,1
Liar-soft,1
Lobstersoft,1
LockPick Entertainment,1
Locomalito,1
Lomax Software,1
LookAtMyGame,1
Lost Sock Games,1
Lowe Bros. Studios,1
Ltd.,1
Lyra Studios,1
MC2,1
MGame Corporation,1
MOSS LTD,1
MP Entertainment,1
MPCA Interactive,1
MTA Team,1
Mad Dog Games,1
Makura,1
Malfador Machinations,1
Mastertronic,1
Mattel Interactive,1
MeDungeon Ltd.,1
Mega Man Maker Team,1
Merit Studios,1
Merscom,1
Metanet Software,1
Metro 3D,1
Metro3D,1
Mgame USA Inc.,1
MicroProse/Hasbro Interactive,1
Microapplication,1
Microids/Encore Games,1
Microsoft Corporation,1
Microsoft Games Studios,1
Mid Carolina Media,1
Midas Interactive,1
Midas Interactive Entertainment,1
Mike Oldfield,1
MindArk,1
Minori,1
Misfits Attic,1
Mnemosyne,1
Mobigame,1
Mode 7 Games,1
Mojang,1
Motion Twin,1
Mountain King Studios,1
Mousechief,1
Movie Battles Team,1
Mulawa Dreaming,1
Muzzy Lane,1
Mythic Entertainment,1
NA: Crave EntertainmentEU: JoWooD Productions,1
